"Namn","Pris","Volym","Varugrupp","Typ","Stil","PrisPerLiter","Producent","Ursprunglandnamn","Alkoholhalt","year","SortimentText"
"Birra Italia - 1906",16.6,330,"Öl","Ljus lager","Internationell stil",50.3,"Caviro","Italien","4.80%",2013,"Övrigt sortiment"
"Ugly Duck - Amarillo & Citra IPA",29.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90,"Indslev Bryggeri","Danmark","5.90%",2013,"Övrigt sortiment"
"Lervig - Rye India Pale Ale",29.4,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",89.09,"Lervig Aktiebryggeri","Norge","8.50%",2013,"Övrigt sortiment"
"Lervig - Hoppy Joe Red Ale",24,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",72.73,"Lervig Aktiebryggeri","Norge","4.70%",2013,"Övrigt sortiment"
"Redhook - ESB",24.5,355,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",69.01,"Redhook","USA","6.20%",2013,"Övrigt sortiment"
"Kona - Fire Rock Pale Ale",24.5,355,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",69.01,"Kona Brewing Co","USA","5.80%",2013,"Övrigt sortiment"
"Redhook - Long Hammer IPA",24.7,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",69.58,"Redhook","USA","6.20%",2013,"Övrigt sortiment"
"Kriek - Mariage Parfait",68,375,"Öl","Syrlig öl","Lambic - frukt och bär",181.33,"Brouwerij Boon","Belgien","8.00%",2013,"Övrigt sortiment"
"Leffe - Blonde",21.9,330,"Öl","Ale belgisk stil","Belgisk ljus ale",66.36,"InBev","Belgien","6.60%",1995,"Ordinarie sortiment"
"Kross - Golden Pale Ale",45,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",136.36,"Southern Brewing Company","Chile","5.30%",2013,"Övrigt sortiment"
"Tooheys - Extra Dry",37,345,"Öl","Ljus lager","Internationell stil",107.25,"Tooheys","Australien","4.60%",2013,"Övrigt sortiment"
"St Mungo - Premium Lager",32.6,330,"Öl","Ljus lager","Internationell stil",98.79,"West Brewery","Storbritannien","4.90%",2013,"Övrigt sortiment"
"Wisby Mörk - Det Sjunde Gomseglet",19.1,330,"Öl","Mörk lager","Dunkel",57.88,"Gotlands Bryggeri","Sverige","5.40%",2013,"Övrigt sortiment"
"Carlskrona - Pilsner",24.3,330,"Öl","Ljus lager","Pilsner - tysk stil",73.64,"Carlskrona Bryggeri","Sverige","5.00%",2013,"Övrigt sortiment"
"Poppels Bryggeri - American Pale Ale",23.5,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",71.21,"Poppels Bryggeri","Sverige","5.40%",2013,"Ordinarie sortiment"
"Poppels Bryggeri - Modern Lager",21.9,330,"Öl","Ljus lager","Modern stil",66.36,"Poppels Bryggeri","Sverige","5.30%",2013,"Lokalt och småskaligt"
"Kallholmen - Levande Dubbel IPA",30.1,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",91.21,"Kallholmens Maltbryggeri","Sverige","7.30%",2013,"Lokalt och småskaligt"
"Morberg - Premium Lager",15.1,330,"Öl","Ljus lager","Internationell stil",45.76,"Westheimer Brauerei","Tyskland","4.80%",2013,"Övrigt sortiment"
"Omnipollo Leon",49.9,750,"Öl","Ale belgisk stil","Belgisk ljus ale",66.53,"Omnipollo","Belgien","6.50%",2013,"Ordinarie sortiment"
"CBC Classic Lager",22.8,440,"Öl","Ljus lager","Internationell stil",51.82,"Cape Brewing Company","Sydafrika","5.10%",2013,"Övrigt sortiment"
"Sofiero Original",8.5,330,"Öl","Ljus lager","Internationell stil",25.76,"Kopparbergs Bryggeri","Sverige","5.20%",2013,"Ordinarie sortiment"
"Byaregårdens - Lager",20.4,330,"Öl","Ljus lager","Modern stil",61.82,"Byaregårdens Brygghus","Sverige","5.50%",2013,"Lokalt och småskaligt"
"South Plains - IPA",19.8,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",60,"South Plains Brewing Company","Sverige","6.70%",2013,"Lokalt och småskaligt"
"Poppels Bryggeri - Belgisk Wit",19.9,330,"Öl","Veteöl","Witbier",60.3,"Poppels Bryggeri","Sverige","4.70%",2013,"Ordinarie sortiment"
"No 1 - Höganäs Lager",27.6,330,"Öl","Ljus lager","Internationell stil",83.64,"Höganäs Bryggeri","Sverige","5.10%",2013,"Lokalt och småskaligt"
"Höganäs - American Pale Ale",28.5,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",86.36,"Höganäs Bryggeri","Sverige","5.60%",2013,"Lokalt och småskaligt"
"Värmdö Bryggeri - Sandhamn Ljus Lager",21.6,330,"Öl","Ljus lager","Pilsner - tysk stil",65.46,"Värmdö Bryggeri","Sverige","4.20%",2013,"Övrigt sortiment"
"Svaneke - India Pale Ale",26.2,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",79.39,"Svaneke Bryghus","Danmark","6.00%",2013,"Övrigt sortiment"
"Budweiser",15.9,330,"Öl","Ljus lager","Internationell stil",48.18,"Anheuser-Busch","Internationellt märke","5.00%",1995,"Ordinarie sortiment"
"Nigerian Guinness - Extra Foreign Stout",35.7,325,"Öl","Porter och stout","Imperial porter och stout",109.85,"Nigerian Breweries PLC","Nigeria","7.50%",2013,"Övrigt sortiment"
"Klackabackens - India Pale Ale",25.1,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",76.06,"Klackabackens Bryggeri","Sverige","6.20%",2013,"Lokalt och småskaligt"
"Klackabackens - Original",23.1,330,"Öl","Ljus lager","Modern stil",70,"Klackabackens Bryggeri","Sverige","5.00%",2013,"Lokalt och småskaligt"
"Sleepy Bulldog - Summer Pale Ale",20.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",63.03,"Gotlands Bryggeri","Sverige","5.00%",2013,"Ordinarie sortiment"
"Bullseye - Best Bitter",36.3,500,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",72.6,"Folkared 15","Sverige","6.10%",2013,"Lokalt och småskaligt"
"Wild Boar - Mild Ale",35.9,500,"Öl","Ale brittisk-amerikansk stil","Mild",71.8,"Folkared 15","Sverige","4.80%",2013,"Lokalt och småskaligt"
"Folka Red - Pale Ale",36.3,500,"Öl","Ale brittisk-amerikansk stil","Amber ale",72.6,"Folkared 15","Sverige","6.10%",2013,"Lokalt och småskaligt"
"Fuller's - London Pride",16.9,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",51.21,"Fuller Smith & Turner","Storbritannien","4.70%",2013,"Ordinarie sortiment"
"Eskilstuna Ölkultur - Dubbel IPA",33.9,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",102.73,"Eskilstuna Ölkultur","Sverige","8.70%",2013,"Lokalt och småskaligt"
"Norrlands Guld - Dynamit",16.6,500,"Öl","Ljus lager","Starkare lager",33.2,"Spendrups","Sverige","7.00%",2013,"Övrigt sortiment"
"Shepherd Neame Spitfire Ale",22.9,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",45.8,"Shepherd Neame","Storbritannien","4.50%",2013,"Övrigt sortiment"
"Groundbreaker Unfiltered Lager - Train Station Brewery",21.9,330,"Öl","Ljus lager","Modern stil",66.36,"Train Station Brewery","Sverige","5.30%",2013,"Lokalt och småskaligt"
"Störtebeker - Pilsener-Bier",21.9,500,"Öl","Ljus lager","Pilsner - tysk stil",43.8,"Störtebeker Braumanufaktur","Tyskland","4.90%",2013,"Övrigt sortiment"
"Störtebeker - Hanse-Porter",21.9,500,"Öl","Porter och stout","Söt porter och stout",43.8,"Störtebeker Braumanufaktur","Tyskland","4.00%",2013,"Övrigt sortiment"
"La Mi Dòna - Bionda Doppio Malto",39.9,500,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",79.8,"Amarcord","Italien","6.50%",2013,"Övrigt sortiment"
"La Volpina - Rossa Doppio Malto",39.9,500,"Öl","Ale brittisk-amerikansk stil","Amber ale",79.8,"Amarcord","Italien","6.50%",2013,"Övrigt sortiment"
"Nut - Birra Divina",130.5,750,"Öl","Ale belgisk stil","",174,"Zago","Italien","6.50%",2013,"Övrigt sortiment"
"Tusker - Malt",34,330,"Öl","Ljus lager","Internationell stil",103.03,"East African Breweries","Kenya","5.00%",2013,"Övrigt sortiment"
"South Plains - American Pale Ale",19.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",60,"South Plains Brewing Company","Sverige","6.00%",2013,"Lokalt och småskaligt"
"South Plains - Honey Oat Wheat",19.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",60,"South Plains Brewing Company","Sverige","5.50%",2013,"Lokalt och småskaligt"
"Lagunitas - Maximus IPA",26.5,355,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",74.65,"Lagunitas Brewing Company","USA","8.20%",2013,"Ordinarie sortiment"
"BrewDog Dead Pony Club",19.8,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",60,"BrewDog","Storbritannien","3.80%",2013,"Ordinarie sortiment"
"Stoodley Stout",21.9,330,"Öl","Porter och stout","Torr porter och stout",66.36,"Little Valley Brewery","Storbritannien","4.80%",2013,"Ordinarie sortiment"
"Byaregårdens - India Pale Ale",23.4,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",70.91,"Byaregårdens Brygghus","Sverige","6.40%",2013,"Lokalt och småskaligt"
"Byaregårdens - Brown Ale",23.1,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",70,"Byaregårdens Brygghus","Sverige","5.50%",2013,"Lokalt och småskaligt"
"Byaregårdens - Pilsner",20.3,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",61.52,"Byaregårdens Brygghus","Sverige","4.80%",2013,"Lokalt och småskaligt"
"Peak Organic - Amber IPA",35.5,355,"Öl","Ale brittisk-amerikansk stil","Amber ale",100,"Peak Organic Brewing Co","USA","4.90%",2013,"Övrigt sortiment"
"Victoria Bitter",34.7,375,"Öl","Ljus lager","Internationell stil",92.53,"Carlton & United Breweries","Australien","4.90%",2013,"Övrigt sortiment"
"Almaza",35.1,330,"Öl","Ljus lager","Internationell stil",106.36,"Brasserie et Malterie Almaza","Libanon","4.20%",2013,"Övrigt sortiment"
"Pistonhead - Flat Tire",10.1,330,"Öl","Ljus lager","Modern stil",30.61,"Spendrups","Sverige","4.50%",2013,"Ordinarie sortiment"
"Fuller's - Wild River",24.9,500,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",49.8,"Fuller Smith & Turner","Storbritannien","4.50%",2013,"Övrigt sortiment"
"Singha",29.9,630,"Öl","Ljus lager","Internationell stil",47.46,"Boon Rawd Brewery","Thailand","5.00%",2013,"Övrigt sortiment"
"Adelsö - Boom Boom Blonde",25.3,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",76.67,"Adelsö Bryggeri","Sverige","5.00%",2013,"Lokalt och småskaligt"
"Adelsö - Rocket Indian Pale Ale",27.6,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",83.64,"Adelsö Bryggeri","Sverige","6.00%",2013,"Lokalt och småskaligt"
"Skol",36.7,355,"Öl","Ljus lager","Internationell stil",103.38,"InBev","Brasilien","4.70%",2013,"Övrigt sortiment"
"Störtebeker - Atlantik-Ale",16.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",51.21,"Störtebeker Braumanufaktur","Tyskland","5.10%",2013,"Övrigt sortiment"
"Lacotta Rossa",80,750,"Öl","Ale oklassificerat","",106.67,"Societá Agricola Colloverde SS,di Tontini Francesco & Co","Italien","5.20%",2013,"Övrigt sortiment"
"Oppigårds - Thurbo Stout",28.9,330,"Öl","Porter och stout","Imperial porter och stout",87.58,"Oppigårds Bryggeri AB","Sverige","8.70%",2013,"Ordinarie sortiment"
"Eklöws Extra - India Pale Ale",36.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",111.21,"Bålsta Bryggeri AB","Sverige","6.50%",2013,"Lokalt och småskaligt"
"Hadiraja",19.9,330,"Öl","Ljus lager","Modern stil",60.3,"Train Station Brewery","Sverige","5.00%",2013,"Lokalt och småskaligt"
"Mariestads Export",16.6,500,"Öl","Ljus lager","Dortmunder och helles",33.2,"Spendrups","Sverige","5.30%",1994,"Ordinarie sortiment"
"Vigårda Lager",23.2,330,"Öl","Ljus lager","",70.3,"Bibendum AB","Sverige","4.70%",2013,"Övrigt sortiment"
"Carlskrona - Mörk Lager",25.3,330,"Öl","Mellanmörk lager","Märzen och wienerstil",76.67,"Carlskrona Bryggeri","Sverige","5.20%",2013,"Övrigt sortiment"
"Wermlands - Ale",22.2,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",67.27,"Värmlands Brygghus","Sverige","5.60%",2013,"Lokalt och småskaligt"
"Titan - IPA",31.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",89.86,"Great Divide Brewing Co","USA","7.10%",2013,"Övrigt sortiment"
"Heen & Weer - Belgian Trilpe-ish",40,330,"Öl","Ale belgisk stil","Belgisk ljus ale",121.21,"Brouwerij De Molen","Nederländerna","9.20%",2013,"Övrigt sortiment"
"Mission Shipwrecked - Double India Pale Ale",40.8,355,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",114.93,"Mission Brewery","USA","9.20%",2013,"Övrigt sortiment"
"Blue Marlin",19.2,330,"Öl","Ljus lager","Modern stil",58.18,"Phoenix Beverages Ltd","Mauritius","6.00%",2013,"Övrigt sortiment"
"Mission - IPA",30.6,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",86.2,"Mission Brewery","USA","6.80%",2013,"Övrigt sortiment"
"Namyslow - Biate Pszeniczne",33.8,500,"Öl","Veteöl","Witbier",67.6,"Namyslow Browar","Polen","5.00%",2013,"Övrigt sortiment"
"Daleside - Blonde Lagered Ale",32.8,500,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",65.6,"Daleside Brewery","Storbritannien","4.30%",2013,"Övrigt sortiment"
"Daleside - Old Leg Over",33.3,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",66.6,"Daleside Brewery","Storbritannien","4.10%",2013,"Övrigt sortiment"
"Khukuri - Premium Lager",29.1,330,"Öl","Ljus lager","Internationell stil",88.18,"Khukuri Beer","Internationellt märke","4.70%",2013,"Övrigt sortiment"
"117 Grythyttan - Bohemian Lager",18.7,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",56.67,"Grythyttans Brygghus AB","Sverige","5.20%",2013,"Lokalt och småskaligt"
"Khukuri - Premium Lager",50.9,660,"Öl","Ljus lager","Internationell stil",77.12,"Khukuri Beer","Internationellt märke","4.70%",2013,"Övrigt sortiment"
"Moose Juice - Imperial Stout",47.4,500,"Öl","Porter och stout","Imperial porter och stout",94.8,"Folkared 15","Sverige","9.10%",2013,"Lokalt och småskaligt"
"Kallholmen - Levande Julöl",25.9,330,"Öl","Annan öl","",78.49,"Kallholmens Maltbryggeri","Sverige","5.90%",2013,"Övrigt sortiment"
"Gathenhielm - Constantia",34,500,"Öl","Ale belgisk stil","Belgisk ljus ale",68,"Onsala Hantverksbryggeri","Sverige","6.40%",2013,"Lokalt och småskaligt"
"Gathenhielm - Triumphant",33.7,500,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",67.4,"Onsala Hantverksbryggeri","Sverige","5.30%",2013,"Lokalt och småskaligt"
"Gathenhielm - Revenge",33.7,500,"Öl","Ale brittisk-amerikansk stil","Brown ale",67.4,"Onsala Hantverksbryggeri","Sverige","5.10%",2013,"Lokalt och småskaligt"
"Brygghus 19 - Schmidts Lager",19.8,330,"Öl","Ljus lager","Dortmunder och helles",60,"Brygghus 19","Sverige","5.00%",2013,"Lokalt och småskaligt"
"Mc Chouffe - Brune",25.9,330,"Öl","Ale belgisk stil","Belgisk mörk ale",78.49,"Brasserie d'Achouffe","Belgien","8.00%",2013,"Övrigt sortiment"
"De Molen - Bommen & Granaten",62.7,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",190,"Brouwerij De Molen","Nederländerna","11.90%",2013,"Övrigt sortiment"
"Julskägg",33.9,500,"Öl","Porter och stout","",67.8,"Strömsholms Brygghus","Sverige","5.80%",2013,"Övrigt sortiment"
"Moosehead - Pale Ale",36.2,341,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",106.16,"Moosehead Brewery","Kanada","5.00%",2013,"Övrigt sortiment"
"Cusquena",36.6,330,"Öl","Mörk lager","Dunkel",110.91,"Cervecera del Sur del Peru","Peru","5.60%",2013,"Övrigt sortiment"
"Tui - East India Pale Ale",37.8,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",114.55,"Tui Brewery","Nya Zeeland","4.00%",2013,"Övrigt sortiment"
"Rådanäs Amerikansk Bitter",22,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",66.67,"Rådanäs Bryggeri AB","Sverige","4.50%",2013,"Lokalt och småskaligt"
"Xingu - Black Beer",35.7,355,"Öl","Mörk lager","Schwarzbier",100.56,"CKBR S.A.","Brasilien","4.60%",2013,"Övrigt sortiment"
"Weltenburg - Wintertraum",26.5,500,"Öl","Mellanmörk lager","Märzen och wienerstil",53,"Weltenburg Klosterbrauerei","Tyskland","5.40%",2013,"Övrigt sortiment"
"De Molen - Citra Pale Ale",22.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",69.39,"Brouwerij De Molen","Nederländerna","4.80%",2014,"Ordinarie sortiment"
"Brewdog - 5 A.M. Saint",22.9,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",69.39,"BrewDog","Storbritannien","5.00%",2014,"Övrigt sortiment"
"Mariestads Export",12.6,330,"Öl","Ljus lager","Dortmunder och helles",38.18,"Spendrups","Sverige","5.30%",2014,"Ordinarie sortiment"
"Dugges - Mörk Lager",21.8,330,"Öl","Mörk lager","Dunkel",66.06,"Dugges Bryggeri AB","Sverige","5.80%",2014,"Ordinarie sortiment"
"Norrlands Guld - Export",9.9,330,"Öl","Ljus lager","Internationell stil",30,"Spendrups","Sverige","5.30%",2014,"Ordinarie sortiment"
"Omnipollo - Nebuchadnezzar",29.9,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",90.61,"Omnipollo","Internationellt märke","8.50%",2014,"Ordinarie sortiment"
"Södra - Almighty",19.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",60,"Södra Maltfabriken Brewery","Sverige","4.30%",2014,"Ordinarie sortiment"
"Nääs - Lager",22.9,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",69.39,"Nääs Gårdsbryggeri AB","Sverige","5.10%",2013,"Lokalt och småskaligt"
"Nääs - Stout",25.7,330,"Öl","Porter och stout","Torr porter och stout",77.88,"Nääs Gårdsbryggeri AB","Sverige","4.50%",2013,"Lokalt och småskaligt"
"Nääs - IPA",25.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",78.49,"Nääs Gårdsbryggeri AB","Sverige","6.30%",2013,"Lokalt och småskaligt"
"Samuel Adams - Boston Ale",21.5,355,"Öl","Ale brittisk-amerikansk stil","Amber ale",60.56,"Boston Beer Company","USA","5.00%",1995,"Ordinarie sortiment"
"961 Beer - Lebanese Pale Ale",25.6,330,"Öl","Annan öl","",77.58,"Gravity Brewing Sal","Libanon","6.30%",2013,"Övrigt sortiment"
"961 Beer - Red Ale",24.6,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",74.55,"Gravity Brewing Sal","Libanon","5.50%",2013,"Övrigt sortiment"
"Electric Nurse - Easter Porter",27.8,500,"Öl","Porter och stout","",55.6,"Dugges Bryggeri AB","Sverige","4.20%",2014,"Säsongsdrycker"
"Ghisa Imperial - Smoked Stout",55.2,330,"Öl","Porter och stout","Imperial porter och stout",167.27,"Birrificio Lambrate","Italien","8.50%",2013,"Övrigt sortiment"
"Ligera - American Pale Ale",47.3,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",143.33,"Birrificio Lambrate","Italien","5.00%",2013,"Övrigt sortiment"
"Ortiga - Golden Ale",47.3,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",143.33,"Birrificio Lambrate","Italien","5.00%",2013,"Övrigt sortiment"
"Gaina - India Pale Ale",47.6,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",144.24,"Birrificio Lambrate","Italien","6.00%",2013,"Övrigt sortiment"
"Saku - Kuld",23.7,330,"Öl","Ljus lager","Internationell stil",71.82,"Saku Brewery","Estland","5.20%",2013,"Övrigt sortiment"
"Saku Hele",32.3,500,"Öl","Ljus lager","Internationell stil",64.6,"Saku Brewery","Estland","5.20%",2013,"Övrigt sortiment"
"Saku - Taurus",34.1,500,"Öl","Ljus lager","Starkare lager",68.2,"Saku Brewery","Estland","7.00%",2013,"Övrigt sortiment"
"Saku - Porter",35.3,500,"Öl","Porter och stout","Söt porter och stout",70.6,"Saku Brewery","Estland","6.90%",2013,"Övrigt sortiment"
"Mohawk - Unfiltered Lager",26.7,330,"Öl","Ljus lager","Modern stil",80.91,"Mohawk Brewing Company","Belgien","5.30%",2013,"Övrigt sortiment"
"Mission Dark Seas - Russian Imperial Stout",44.1,355,"Öl","Porter och stout","Imperial porter och stout",124.23,"Mission Brewery","USA","9.80%",2013,"Övrigt sortiment"
"Mission Carrack - Imperial Red Ale",45.3,355,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",127.61,"Mission Brewery","USA","10.20%",2013,"Övrigt sortiment"
"La Blonde",26,330,"Öl","Ale belgisk stil","Belgisk ljus ale",78.79,"Brasserie du Mont Blanc","Frankrike","5.80%",2013,"Övrigt sortiment"
"La Rousse - Brasserie du Mont Blanc",26.5,330,"Öl","Ale belgisk stil","Belgisk mörk ale",80.3,"Brasserie du Mont Blanc","Frankrike","6.50%",2014,"Övrigt sortiment"
"BrewDog - Jack Hammer",26.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",81.52,"BrewDog","Storbritannien","7.20%",2014,"Övrigt sortiment"
"S:t George - Amber Beer",37.9,330,"Öl","Mellanmörk lager","",114.85,"BGI Ethiopia","Etiopien","6.00%",2014,"Övrigt sortiment"
"St Georgen Bräu Festbier",25.8,500,"Öl","Ljus lager","Pilsner - tysk stil",51.6,"St. Georgen Bräu","Tyskland","5.60%",2014,"Övrigt sortiment"
"BrewDog - Cocoa Psycho Imperial Russian Stout",65,330,"Öl","Porter och stout","Imperial porter och stout",196.97,"BrewDog","Storbritannien","10.00%",2014,"Övrigt sortiment"
"Brygghus 19 - Ambassadeur",23.9,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",72.42,"Brygghus 19","Sverige","5.90%",2014,"Lokalt och småskaligt"
"Bishops Finger - Kentish Strong Ale",19.9,440,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",45.23,"Shepherd Neame","Storbritannien","5.20%",2014,"Ordinarie sortiment"
"Twisted Thistle IPA",18.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",57.27,"Belhaven Brewery","Storbritannien","5.60%",2014,"Ordinarie sortiment"
"Old Speckled Hen",15.9,355,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",44.79,"Morland & Co","Storbritannien","5.00%",2014,"Övrigt sortiment"
"Founders - Centennial India Pale Ale",25.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",72.96,"Founders Brewing Company","USA","7.20%",2014,"Ordinarie sortiment"
"Banks - Caribbean Lager",37.7,330,"Öl","Ljus lager","Internationell stil",114.24,"Banks Breweries","Barbados","4.70%",2014,"Övrigt sortiment"
"Rothaus - Tannenzäpfle",34.8,330,"Öl","Ljus lager","Pilsner - tysk stil",105.46,"Badische Staatsbrauerei Rothaus","Tyskland","5.10%",2014,"Övrigt sortiment"
"Camden - Pale Ale",19.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",60.3,"Camden Town Brewery","Storbritannien","4.00%",2014,"Ordinarie sortiment"
"Founders - All Day IPA",27.7,355,"Öl","Ale brittisk-amerikansk stil","Session IPA",78.03,"Founders Brewing Company","USA","4.70%",2014,"Övrigt sortiment"
"Founders - Centennial India Pale Ale",30.6,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",86.2,"Founders Brewing Company","USA","7.20%",2014,"Övrigt sortiment"
"Founders - Porter",32.5,355,"Öl","Porter och stout","Söt porter och stout",91.55,"Founders Brewing Company","USA","6.50%",2014,"Övrigt sortiment"
"Liefmans - Goudenband",90.1,750,"Öl","Syrlig öl","Flamländsk röd och brun öl",120.13,"Duvel Moortgat","Belgien","8.00%",2014,"Övrigt sortiment"
"117 Grythyttan - India Pale Ale",20.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",63.33,"Grythyttans Brygghus AB","Sverige","5.80%",2014,"Lokalt och småskaligt"
"Innis & Gunn - Toasted Oak IPA",17.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",54.24,"Innis & Gunn","Storbritannien","5.60%",2014,"Ordinarie sortiment"
"Fem komma tvåan",7.9,330,"Öl","Ljus lager","Internationell stil",23.94,"Åbro Bryggeri","Sverige","5.20%",2014,"Ordinarie sortiment"
"Backyard Brew - Bomble Bee 17",10.9,330,"Öl","Ljus lager","Modern stil",33.03,"Carlsberg Sverige AB","Sverige","4.70%",2014,"Ordinarie sortiment"
"Hop Hound - Pale Ale",28.7,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",86.97,"STHLM Brewing Co.","Sverige","4.70%",2014,"Lokalt och småskaligt"
"Brygghuset Finn - American Pale Ale",23.5,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",71.21,"Brygghuset Finn","Sverige","5.20%",2014,"Lokalt och småskaligt"
"Brygghuset Finn - Brown Ale",24.5,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",74.24,"Brygghuset Finn","Sverige","4.90%",2014,"Lokalt och småskaligt"
"Poppels - Dubbel IPA",30.4,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",92.12,"Poppels Bryggeri","Sverige","8.00%",2014,"Ordinarie sortiment"
"Rådanäs IPA",27.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",84.55,"Rådanäs Bryggeri AB","Sverige","6.60%",2014,"Lokalt och småskaligt"
"Melleruds - Utmärkta Pilsner",13.9,330,"Öl","Ljus lager","Pilsner - tysk stil",42.12,"Spendrups","Sverige","4.50%",2014,"Ordinarie sortiment"
"Shogun Bulldog - JIPA",25.5,330,"Öl","Ale brittisk-amerikansk stil","",77.27,"Gotlands Bryggeri","Sverige","7.20%",2014,"Övrigt sortiment"
"Quarantot - Double India Pale Ale",52.1,330,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",157.88,"Birrificio Lambrate","Italien","8.00%",2014,"Övrigt sortiment"
"Camden Hells - Lager",23.9,330,"Öl","Ljus lager","Dortmunder och helles",72.42,"Camden Town Brewery","Storbritannien","4.60%",2014,"Övrigt sortiment"
"Midtfyns Provsmakningslåda",624,6000,"Öl","Annan öl","Öl av flera typer/stilar",104,"Midtfyns Bryghus","Danmark","8.30%",2014,"Övrigt sortiment"
"Premiumöl Extraordinär",34.7,330,"Öl","Mörk lager","",105.15,"Båstad Öl HB","Sverige","7.20%",2014,"Lokalt och småskaligt"
"Rådanäs Bourbon Mash Beer",29.9,330,"Öl","Annan öl","",90.61,"Rådanäs Bryggeri AB","Sverige","6.70%",2014,"Lokalt och småskaligt"
